,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
0,no transition,Technology-specific - Way et al. (2022),201.05668807337923
1,no transition,Technology-specific - Way et al. (2022),193.23786237659152
2,no transition,Technology-specific - Way et al. (2022),193.90002159414138
3,no transition,Technology-specific - Way et al. (2022),170.23556688976035
4,no transition,Technology-specific - Way et al. (2022),190.3824139261193
5,no transition,Technology-specific - Way et al. (2022),160.21336729984645
6,no transition,Technology-specific - Way et al. (2022),178.03978101325902
7,no transition,Technology-specific - Way et al. (2022),180.67444843901157
8,no transition,Technology-specific - Way et al. (2022),169.63393122289162
9,no transition,Technology-specific - Way et al. (2022),169.80952254675543
10,no transition,Technology-specific - Way et al. (2022),184.02036584696194
11,no transition,Technology-specific - Way et al. (2022),167.68858587339417
12,no transition,Technology-specific - Way et al. (2022),178.43634608225096
13,no transition,Technology-specific - Way et al. (2022),194.47835410175642
14,no transition,Technology-specific - Way et al. (2022),179.15804831646335
15,no transition,Technology-specific - Way et al. (2022),163.78919145562418
16,no transition,Technology-specific - Way et al. (2022),163.7386312332937
17,no transition,Technology-specific - Way et al. (2022),172.96568556602261
18,no transition,Technology-specific - Way et al. (2022),165.60686414529656
19,no transition,Technology-specific - Way et al. (2022),187.4235151546326
20,no transition,Technology-specific - Way et al. (2022),164.98780440266182
21,no transition,Technology-specific - Way et al. (2022),181.0924835892345
22,no transition,Technology-specific - Way et al. (2022),176.04251336114373
23,no transition,Technology-specific - Way et al. (2022),181.28986960811412
24,no transition,Technology-specific - Way et al. (2022),170.2500423490745
25,no transition,Technology-specific - Way et al. (2022),206.9831987330651
26,no transition,Technology-specific - Way et al. (2022),211.69243947942505
27,no transition,Technology-specific - Way et al. (2022),187.9037637938932
28,no transition,Technology-specific - Way et al. (2022),185.69371936276838
29,no transition,Technology-specific - Way et al. (2022),190.45366678023032
30,no transition,Technology-specific - Way et al. (2022),179.64472434662537
31,no transition,Technology-specific - Way et al. (2022),195.32329588590042
32,no transition,Technology-specific - Way et al. (2022),179.46747590101418
33,no transition,Technology-specific - Way et al. (2022),180.16437697898374
34,no transition,Technology-specific - Way et al. (2022),178.56594942823847
35,no transition,Technology-specific - Way et al. (2022),167.87491250384588
36,no transition,Technology-specific - Way et al. (2022),154.43048400760532
37,no transition,Technology-specific - Way et al. (2022),160.95783656871842
38,no transition,Technology-specific - Way et al. (2022),188.5554343785864
39,no transition,Technology-specific - Way et al. (2022),162.53946879328106
40,no transition,Technology-specific - Way et al. (2022),193.98269747993075
41,no transition,Technology-specific - Way et al. (2022),187.65908388642507
42,no transition,Technology-specific - Way et al. (2022),175.23807462235683
43,no transition,Technology-specific - Way et al. (2022),164.10706906524806
44,no transition,Technology-specific - Way et al. (2022),175.69795004598262
45,no transition,Technology-specific - Way et al. (2022),191.08378566611492
46,no transition,Technology-specific - Way et al. (2022),164.19991104027832
47,no transition,Technology-specific - Way et al. (2022),180.52079639538334
48,no transition,Technology-specific - Way et al. (2022),170.79856266728117
49,no transition,Technology-specific - Way et al. (2022),178.83536120024803
50,no transition,Technology-specific - Way et al. (2022),165.2320441619931
51,no transition,Technology-specific - Way et al. (2022),174.4361240913065
52,no transition,Technology-specific - Way et al. (2022),198.42626459555348
53,no transition,Technology-specific - Way et al. (2022),203.84605636242412
54,no transition,Technology-specific - Way et al. (2022),167.18072882114205
55,no transition,Technology-specific - Way et al. (2022),167.2777609240242
56,no transition,Technology-specific - Way et al. (2022),167.7861536480855
57,no transition,Technology-specific - Way et al. (2022),163.05615047677637
58,no transition,Technology-specific - Way et al. (2022),187.7333434068762
59,no transition,Technology-specific - Way et al. (2022),179.3858547152165
60,no transition,Technology-specific - Way et al. (2022),176.73931716950636
61,no transition,Technology-specific - Way et al. (2022),171.86932481757253
62,no transition,Technology-specific - Way et al. (2022),225.33722132665713
63,no transition,Technology-specific - Way et al. (2022),164.83986616044427
64,no transition,Technology-specific - Way et al. (2022),176.47991649071582
65,no transition,Technology-specific - Way et al. (2022),171.16326755810462
66,no transition,Technology-specific - Way et al. (2022),184.38140496977306
67,no transition,Technology-specific - Way et al. (2022),180.7088383033338
68,no transition,Technology-specific - Way et al. (2022),178.9668251183282
69,no transition,Technology-specific - Way et al. (2022),196.08853133128437
70,no transition,Technology-specific - Way et al. (2022),161.60549560079417
71,no transition,Technology-specific - Way et al. (2022),182.43796880708558
72,no transition,Technology-specific - Way et al. (2022),184.08362941736834
73,no transition,Technology-specific - Way et al. (2022),186.05061915327792
74,no transition,Technology-specific - Way et al. (2022),173.39611452679705
75,no transition,Technology-specific - Way et al. (2022),183.7551319688627
76,no transition,Technology-specific - Way et al. (2022),183.47144496544988
77,no transition,Technology-specific - Way et al. (2022),195.04870927412452
78,no transition,Technology-specific - Way et al. (2022),183.25613169045266
79,no transition,Technology-specific - Way et al. (2022),164.88459309247918
80,no transition,Technology-specific - Way et al. (2022),176.6289111852552
81,no transition,Technology-specific - Way et al. (2022),170.65024427479025
82,no transition,Technology-specific - Way et al. (2022),172.44329269781537
83,no transition,Technology-specific - Way et al. (2022),200.85571988883197
84,no transition,Technology-specific - Way et al. (2022),174.91186370580755
85,no transition,Technology-specific - Way et al. (2022),236.11218812460893
86,no transition,Technology-specific - Way et al. (2022),197.89875768871266
87,no transition,Technology-specific - Way et al. (2022),150.10580631728934
88,no transition,Technology-specific - Way et al. (2022),181.84999631962353
89,no transition,Technology-specific - Way et al. (2022),167.8262765336867
90,no transition,Technology-specific - Way et al. (2022),169.8466466100841
91,no transition,Technology-specific - Way et al. (2022),203.70072506786582
92,no transition,Technology-specific - Way et al. (2022),204.016816620048
93,no transition,Technology-specific - Way et al. (2022),171.28536032135688
94,no transition,Technology-specific - Way et al. (2022),155.34592806978134
95,no transition,Technology-specific - Way et al. (2022),180.20647170729063
96,no transition,Technology-specific - Way et al. (2022),166.36859211623855
97,no transition,Technology-specific - Way et al. (2022),182.7381824691034
98,no transition,Technology-specific - Way et al. (2022),194.2473991496163
99,no transition,Technology-specific - Way et al. (2022),165.02629368768146
100,no transition,Technology-specific - Way et al. (2022),185.22387447902886
101,no transition,Technology-specific - Way et al. (2022),197.3937104124973
102,no transition,Technology-specific - Way et al. (2022),179.13748822763037
103,no transition,Technology-specific - Way et al. (2022),185.6642662915815
